어떠/B_XRI	어떠/XR
웃/B_VV	웃/VV
하루/B_NNGI	하루/NNG
강전유/B_NNPII	강전유/NNP
구워/B_VV+B_NYI_EC	굽/VV + 어/EC
생/B_XSN	생/XSN
라고/B_VCP+B_NYI_EF	이/VCP + 라고/EF
아드레날린/B_NNGIIII	아드레날린/NNG
라고/B_VCP+B_NYI_EC	이/VCP + 라고/EC
밤/B_NNG	밤/NNG
용산고/B_NNPII	용산고/NNP
지금/B_MAGI	지금/MAG
민간단체/B_NNGIII	민간단체/NNG
잡지사/B_NNGII	잡지사/NNG
주관/B_NNGI	주관/NNG
난폭/B_NNGI	난폭/NNG
꺼내/B_VVI	꺼내/VV
천진/B_NNGI	천진/NNG
주유원/B_NNGII	주유원/NNG
별채/B_NNGI	별채/NNG
모자/B_NNGI	모자/NNG
여전/B_XRI	여전/XR
취해/B_VVI+EC	취하/VV + 아/EC
설날/B_NNGI	설날/NNG
정력/B_NNGI	정력/NNG
압축식/B_NNGII	압축식/NNG
동반/B_NNGI	동반/NNG
모딜리아니/B_NNPIIII	모딜리아니/NNP
언론사/B_NNGII	언론사/NNG
등지/B_NNBI	등지/NNB
강좌/B_NNGI	강좌/NNG
협의회/B_NNGII	협의회/NNG
사업자/B_NNGII	사업자/NNG
전환/B_NNGI	전환/NNG
띄웠/B_VVI+EP	띄우/VV + 었/EP
병행/B_NNGI	병행/NNG
경기/B_NNGI	경기/NNG
다가오/B_VVII	다가오/VV
제출/B_NNGI	제출/NNG
오른쪽/B_NNGII	오른쪽/NNG
발행/B_NNGI	발행/NNG
귀향/B_NNGI	귀향/NNG
보석/B_NNGI	보석/NNG
경고장/B_NNGII	경고장/NNG
코웃음/B_NNGII	코웃음/NNG
외사촌/B_NNGII	외사촌/NNG
예정/B_NNGI	예정/NNG
정밀/B_NNGI	정밀/NNG
기한/B_NNGI	기한/NNG
물색/B_NNGI	물색/NNG
같/B_VA	같/VA
서로/B_MAGI	서로/MAG
의견/B_NNGI	의견/NNG
잠자/B_VVI	잠자/VV
강습회/B_NNGII	강습회/NNG
여검사/B_NNGII	여검사/NNG
레퍼토리/B_NNGIII	레퍼토리/NNG
몰린다는/B_VVI+B_NYI_ETMI	몰리/VV + ㄴ다는/ETM
서방/B_NNGI	서방/NNG
올렸/B_VVI+EP	올리/VV + 었/EP
붉으락푸르락/B_MAGIIIII	붉으락푸르락/MAG
미술관/B_NNGII	미술관/NNG
국악인/B_NNGII	국악인/NNG
암자색/B_NNGII	암자색/NNG
앞/B_NNG	앞/NNG
방문단/B_NNGII	방문단/NNG
톤/B_NNG	톤/NNG
그릇/B_NNGI	그릇/NNG
독기/B_NNGI	독기/NNG
현격/B_NNGI	현격/NNG
들여서/B_VVI+ECI	들이/VV + 어서/EC
운반/B_NNGI	운반/NNG
게릴라전/B_NNGIII	게릴라전/NNG
명료/B_XRI	명료/XR
미친/B_VVI+ETM	미치/VV + ㄴ/ETM
레몬/B_NNGI	레몬/NNG
정돈/B_NNGI	정돈/NNG
없앤/B_VVI+ETM	없애/VV + ㄴ/ETM
바닷속/B_NNGII	바닷속/NNG
출혈/B_NNGI	출혈/NNG
다지/B_VVI	다지/VV
마이애미/B_NNPIII	마이애미/NNP
관심사/B_NNGII	관심사/NNG
임산부/B_NNGII	임산부/NNG
적정/B_NNGI	적정/NNG
법원/B_NNGI	법원/NNG
하룻밤/B_NNGII	하룻밤/NNG
평화우정관/B_NNGIIII	평화우정관/NNG
유방암/B_NNGII	유방암/NNG
쌓/B_VV	쌓/VV
챙겨서/B_VVI+ECI	챙기/VV + 어서/EC
햇볕/B_NNGI	햇볕/NNG
미니카/B_NNGII	미니카/NNG
증여세/B_NNGII	증여세/NNG
한지/B_XSA+B_NYI_EC	하/XSA + ㄴ지/EC
놓/B_VV	놓/VV
뜰/B_VV+ETM	뜨/VV + ㄹ/ETM
놓/B_VX	놓/VX
할지/B_VX+ECI	하/VX + ㄹ지/EC
배내옷/B_NNGII	배내옷/NNG
70/B_SNI	70/SN
비르킨/B_NNPII	비르킨/NNP
흔쾌히/B_MAGII	흔쾌히/MAG
간판/B_NNGI	간판/NNG
참교육/B_NNGII	참교육/NNG
팔찌/B_NNGI	팔찌/NNG
퇴진/B_NNGI	퇴진/NNG
펄럭이/B_VVII	펄럭이/VV
알린다는/B_VVI+B_NYI_ETMI	알리/VV + ㄴ다는/ETM
시커먼/B_VAII+ETM	시커멓/VA + ㄴ/ETM
킬킬댔/B_VVII+EP	킬킬대/VV + 었/EP
왕성/B_NNGI	왕성/NNG
캐릭터/B_NNGII	캐릭터/NNG
관광버스/B_NNGIII	관광버스/NNG
압력/B_NNGI	압력/NNG
편중/B_NNGI	편중/NNG
유죄/B_NNGI	유죄/NNG
체조/B_NNGI	체조/NNG
별/B_XSN	별/XSN
라니/B_VCP+B_NYI_EC	이/VCP + 라니/EC
풍기/B_VVI	풍기/VV
라니/B_VCP+B_NYI_EF	이/VCP + 라니/EF
문틀/B_NNGI	문틀/NNG
예요/B_VCP+B_NYI_EF	이/VCP + 에요/EF
선/B_JKB+VCP	서/JKB + 이/VCP
파기/B_NNGI	파기/NNG
질병/B_NNGI	질병/NNG
제대로/B_MAGII	제대로/MAG
식품학/B_NNGII	식품학/NNG
몰랐/B_VV+B_NYI+EP	모르/VV + 았/EP
노쇠/B_NNGI	노쇠/NNG
물어본/B_VVII+ETM	물어보/VV + ㄴ/ETM
Y/B_SL	Y/SL
행사/B_NNGI	행사/NNG
박사/B_NNGI	박사/NNG
경기/B_NNPI	경기/NNP
반성/B_NNGI	반성/NNG
앞쪽/B_NNGI	앞쪽/NNG
명성여고/B_NNPIII	명성여고/NNP
집회실/B_NNGII	집회실/NNG
도시가스/B_NNGIII	도시가스/NNG
속하/B_VVI	속하/VV
하늘/B_NNGI	하늘/NNG
기대/B_VVI	기대/VV
저질러야/B_VVII_VV+ECI	저지르/VV + 어야/EC
저질러/B_VVI_VV+EC	저지르/VV + 어/EC
나을/B_VA+B_NYI_ETM	낫/VA + 을/ETM
판단력/B_NNGII	판단력/NNG
일류대/B_NNGII	일류대/NNG
두려움/B_NNGII	두려움/NNG
조선/B_NNPI	조선/NNP
표본/B_NNGI	표본/NNG
게이트/B_NNGII	게이트/NNG
어려운/B_VAI+B_NYI_ETM	어렵/VA + ㄴ/ETM
74/B_SNI	74/SN
적용/B_NNGI	적용/NNG
현행/B_NNGI	현행/NNG
풀이된다/B_NNGB_XSV+B_NYI_EF	풀이/NNG + 되/XSV + ㄴ다/EC
욕망/B_NNGI	욕망/NNG
암벽화/B_NNGII	암벽화/NNG
챙길까/B_VVI+B_NYI_EC	챙기/VV + ㄹ까/EC
품종/B_NNGI	품종/NNG
기치/B_NNGI	기치/NNG
쓰임새/B_NNGII	쓰임새/NNG
의원/B_NNGI	의원/NNG
조종/B_NNGI	조종/NNG
피하/B_VVI	피하/VV
느지막/B_XRII	느지막/XR
연합/B_NNGI	연합/NNG
13/B_SNI	13/SN
점차/B_NNGI	점차/NNG
어른/B_NNGI	어른/NNG
상실/B_NNGI	상실/NNG
한국걸스카우트연맹/B_NNPIIIIIIII	한국걸스카우트연맹/NNP
요원/B_NNGI	요원/NNG
편집장/B_NNGII	편집장/NNG
막/B_MAG	막/MAG
영국으로/B_NNGII+B_NYI_JKB	영국식/NNG + 으로/JKB
실핏줄/B_NNGII	실핏줄/NNG
무효/B_NNGI	무효/NNG
펼치/B_VVI	펼치/VV
올림피아호텔/B_NNPIIIII	올림피아호텔/NNP
치레/B_XSNI	치레/XSN
혜화동/B_NNPII	혜화동/NNP
밖에도/B_JXII	밖에/JX
보이/B_NNGI	보이/NNG
장기/B_NNGI	장기/NNG
겹쳐/B_VVI+EC	겹치/VV + 어/EC
빨려/B_VVI+EC	빨리/VV + 어/EC
합쳐져서/B_VVI+ECI+ECI	합치/VV
슬픈/B_VAI+ETM	슬프/VA + ㄴ/ETM
아닌/B_VCNI+ETM	아니/VCN + ㄴ/ETM
걸렸/B_VVI+EP	걸리/VV + 었/EP
자연/B_NNGI	자연/NNG
차례/B_NNGI	차례/NNG
맑/B_VA	맑/VA
신신당부/B_NNGIII	신신당부/NNG
미래/B_NNGI	미래/NNG
공허/B_XRI	공허/XR
연예인/B_NNGII	연예인/NNG
산수/B_NNGI	산수/NNG
쉽사리/B_MAGII	쉽사리/MAG
붉히/B_VVI	붉히/VV
홀아비/B_NNGII	홀아비/NNG
보드라운/B_VAII+B_NYI_ETM	보드랍/VA + ㄴ/ETM
물끄러미/B_MAGIII	물끄러미/MAG
급히/B_MAGI	급히/MAG
불러와/B_VVII_EC	불러오/VV
167/B_SNII	167/SN
들린/B_VVI+ETM	들리/VV + ㄴ/ETM
간지/B_NNGI	간지/NNG
걸맞/B_VAI	걸맞/VA
용케/B_VAI+EC	용하/VA + 게/EC
아들/B_NNGI	아들/NNG
재미없/B_VAII	재미없/VA
불구/B_XRI	불구/XR
계단/B_NNGI	계단/NNG
돌이킬/B_VVII+ETM	돌이키/VV + ㄹ/ETM
챙겨/B_VVI+EC	챙기/VV + 어/EC
허옇/B_VAI	허옇/VA
괴로움/B_NNGII	괴로움/NNG
라서/B_VCP+B_NYI_EC	이/VCP + 라서/EC
피웠/B_VVI+EP	피우/VV + 었/EP
도움말/B_NNGII	도움말/NNG
재무과/B_NNGII	재무과/NNG
정작/B_NNGI	정작/NNG
즐긴다/B_VVI+B_NYI_EF	즐기/VV + ㄴ다/EF
그만둔/B_VVII+ETM	그만두/VV + ㄴ/ETM
삼촌/B_NNGI	삼촌/NNG
무심/B_NNGI	무심/NNG
판매대/B_NNGII	판매대/NNG
뜰/B_NNG	뜰/NNG
랄까……/B_VCP+B_NYI_ECI+B_NYI_SE+SE	이/VCP + 랄까/EC + …/SE + …/SE
안타까울/B_VAII+B_NYI_ETM	안타깝/VA + ㄹ/ETM
김일성/B_NNPII	김일성/NNP
전해/B_VVI+EC	전하/VV + 아/EC
자의/B_NNGI	자의/NNG
추정된다/B_NNGB_XSV+B_NYI_EF	추정/NNG + 되/XSV + ㄴ다/EC
애원/B_NNGI	애원/NNG
여기저기/B_NNGIII	여기저기/NNG
가능/B_NNGI	가능/NNG
폐지/B_NNGI	폐지/NNG
마감/B_NNGI	마감/NNG
메이크업/B_NNGIII	메이크업/NNG
제복/B_NNGI	제복/NNG
마지않/B_VXII	마지않/VX
비친/B_VVI+ETM	비치/VV + ㄴ/ETM
영국식/B_NNGII	영국식/NNG
변죽/B_NNGI	변죽/NNG
한테서/B_JKBII	한테서/JKB
프로/B_NNBI	프로/NNB
가르쳐/B_VVII+EC	가르치/VV + 어/EC
산중/B_NNGI	산중/NNG
러브호텔/B_NNGIII	러브호텔/NNG
초롱초롱/B_MAGIII	초롱초롱/MAG
개다리소반/B_NNGIIII	개다리소반/NNG
거리/B_NNGI	거리/NNG
고개/B_NNGI	고개/NNG
깨끗이/B_MAGII	깨끗이/MAG
남/B_NNG	남/NNG
그녀/B_NPI	그녀/NP
모자랐/B_VVI+EP	모자라/VV + 았/EP
한데/B_NNGI	한데/NNG
떨리/B_VVI	떨리/VV
그어/B_VV+B_NYI_EC	긋/VV + 어/EC
태세/B_NNGI	태세/NNG
원망/B_NNGI	원망/NNG
소방차/B_NNGII	소방차/NNG
조선/B_NNGI	조선/NNG
대하증/B_NNGII	대하증/NNG
여름철/B_NNGII	여름철/NNG
당할지/B_VVI+B_NYI_EC	당하/VV + ㄹ지/EC
성인/B_NNGI	성인/NNG
한지/B_NNGI	한지/NNG
넉넉/B_XRI	넉넉/XR
황금/B_NNGI	황금/NNG
지킴이/B_NNGII	지킴이/NNG
물놀이/B_NNGII	물놀이/NNG
이병기/B_NNPII	이병기/NNP
투병/B_NNGI	투병/NNG
보존/B_NNGI	보존/NNG
볼일/B_NNGI	볼일/NNG
호박/B_NNGI	호박/NNG
정거장/B_NNGII	정거장/NNG
대진여고/B_NNPIII	대진여고/NNP
한국연극배우협회/B_NNPIIIIIII	한국연극배우협회/NNP
거리/B_NNBI	거리/NNB
!/B_SF	!/SF
품질/B_NNGI	품질/NNG
양손/B_NNGI	양손/NNG
파코/B_NNPI	파코/NNP
품/B_NNG	품/NNG
끼여/B_VVI+EC	끼이/VV + 어/EC
낭비/B_NNGI	낭비/NNG
이뤄진/B_VVII+ETM	이루어지/VV + ㄴ/ETM
소주잔/B_NNGII	소주잔/NNG
규칙/B_NNGI	규칙/NNG
재벌/B_NNGI	재벌/NNG
애인/B_NNGI+SP	애인/NNG + ,/SP
애국자/B_NNGII	애국자/NNG
미덕/B_NNGI	미덕/NNG
판다/B_VV+EFI	팔/VV + ㄴ다/EF
꼭대기/B_NNGII	꼭대기/NNG
단역/B_NNGI	단역/NNG
민간사절/B_NNGIII	민간사절/NNG
운용/B_NNGI	운용/NNG
군만두/B_NNGII	군만두/NNG
모습/B_NNGI	모습/NNG
문서/B_NNGI	문서/NNG
차음재/B_NNGII	차음재/NNG
영리/B_XRI	영리/XR
모자라/B_VVII+EC	모자라/VV + 아/EC
품/B_NNB	품/NNB
웃긴다는/B_VVI+B_NYI_ETMI	웃기/VV + ㄴ다는/ETM
이어질/B_VVII+ETM	이어지/VV + ㄹ/ETM
망정/B_NNBI	망정/NNB
옆모습/B_NNGII	옆모습/NNG
해선/B_XSV+B_NYI+JX	하/XSV + 아서/EC
놀/B_VV+ETM	놀/VV + ㄹ/ETM
쏘/B_VV	쏘/VV
약자/B_NNGI	약자/NNG
의회/B_NNGI	의회/NNG
중증/B_NNGI	중증/NNG
시각/B_NNGI	시각/NNG
강조/B_NNGI	강조/NNG
손등/B_NNGI	손등/NNG
흘겨본/B_VVII+ETM	흘겨보/VV + ㄴ/ETM
구리/B_NNPI	구리/NNP
테레비/B_NNGII	테레비/NNG
천마산리조트/B_NNPIIIII	천마산리조트/NNP
희색/B_NNGI	희색/NNG
널리/B_MAGI	널리/MAG
중대/B_NNGI	중대/NNG
스며들/B_VVII	스며들/VV
초콜릿/B_NNGII	초콜릿/NNG
선/B_NNG	선/NNG
젖가슴/B_NNGII	젖가슴/NNG
의식/B_NNGI	의식/NNG
위촉/B_NNGI	위촉/NNG
신청/B_NNGI	신청/NNG
아프리카/B_NNPIII	아프리카/NNP
온라인/B_NNGII	온라인/NNG
동편/B_NNGI	동편/NNG
끊긴/B_VVI+ETM	끊기/VV + ㄴ/ETM
경찰서/B_NNGII	경찰서/NNG
내쉬/B_VVI	내쉬/VV
찾아다니/B_VVIII	찾아다니/VV
미혼/B_NNGI	미혼/NNG
치/B_NNG	치/NNG
판국/B_NNGI	판국/NNG
생산품/B_NNGII	생산품/NNG
여느/B_MMI	여느/MM
장농/B_NNGI	장농/NNG
바쁘/B_VAI	바쁘/VA
뒤져/B_VVI+EC	뒤지/VV + 어/EC
부딪쳐/B_VVII+EC	부딪치/VV + 어/EC
잔류/B_NNGI	잔류/NNG
일생일대/B_NNGIII	일생일대/NNG
제일주의/B_NNGIII	제일주의/NNG
질러/B_VV+B_NYI_VV+EC	지르/VV + 어/EC
재방/B_NNGI	재방/NNG
한마디/B_NNGII	한마디/NNG
쉬운/B_VA+B_NYI_ETM	쉽/VA + ㄴ/ETM
윗니/B_NNGI	윗니/NNG
이계숙/B_NNPII	이계숙/NNP
뒤처지/B_VVII	뒤처지/VV
진흙/B_NNGI	진흙/NNG
아파트/B_NNGII	아파트/NNG
어리둥절/B_XRIII	어리둥절/XR
깨어나/B_VVII	깨어나/VV
9/B_SN	9/SN
달맞이꽃/B_NNGIII	달맞이꽃/NNG
절대액/B_NNGII	절대액/NNG
양념/B_NNGI	양념/NNG
따끔거렸/B_VVIII+EP	따끔거리/VV + 었/EP
붓/B_NNG	붓/NNG
개성/B_NNGI	개성/NNG
한/B_XSV+JX	하/XSV + ㄴ/JX
평정/B_NNGI	평정/NNG
안전핀/B_NNGII	안전핀/NNG
시야/B_NNGI	시야/NNG
박멸/B_NNGI	박멸/NNG
한번/B_NNGI	한번/NNG
종일/B_NNGI	종일/NNG
홍역/B_NNGI	홍역/NNG
토익/B_NNGI	토익/NNG
미술/B_NNGI	미술/NNG
벙긋거리/B_VVIII	벙긋거리/VV
속도감/B_NNGII	속도감/NNG
걸치/B_VVI	걸치/VV
부지/B_NNGI	부지/NNG
비누/B_NNGI	비누/NNG
콘티/B_NNGI	콘티/NNG
겠/B_VV+EP	하/VV + 겠/EP
경술국치/B_NNGIII	경술국치/NNG
페라리/B_NNPII	페라리/NNP
우연히/B_MAGII	우연히/MAG
발신인/B_NNGII	발신인/NNG
아가씨/B_NNGII	아가씨/NNG
이르/B_VVI	이르/VV
제때/B_NNGI	제때/NNG
사실/B_NNGI	사실/NNG
할걸/B_VV+EFI	하/VV + ㄹ걸/EF
1900/B_SNIII	1900/SN
음악가/B_NNGII	음악가/NNG
홈/B_NNG	홈/NNG
빨라/B_VA+B_NYI_EC	빠르/VA + 아/EC
수입/B_NNGI	수입/NNG
화려/B_XRI	화려/XR
정무/B_NNGI	정무/NNG
던들/B_ECI	던들/EC
소장/B_NNGI	소장/NNG
구식/B_NNGI	구식/NNG
연봉/B_NNGI	연봉/NNG
실릴/B_VVI+ETM	실리/VV + ㄹ/ETM
발신/B_NNGI	발신/NNG
매혹/B_NNGI	매혹/NNG
신명/B_NNGI	신명/NNG
2937/B_SNIII	2937/SN
웬/B_MM	웬/MM
촬영/B_NNGI	촬영/NNG
재단/B_NNGI	재단/NNG
타령/B_NNGI	타령/NNG
당기/B_VVI	당기/VV
통/B_NNB	통/NNB
피/B_XPN	피/XPN
김대중/B_NNPII	김대중/NNP
갑작스럽/B_VAIII	갑작스럽/VA
붙들/B_VVI	붙들/VV
유정란/B_NNGII	유정란/NNG
수영/B_NNGI	수영/NNG
달성군/B_NNPII	달성군/NNP
내놓/B_VVI	내놓/VV
늦/B_VA	늦/VA
염/B_NNG	염/NNG
마음속/B_NNGII	마음속/NNG
일러바친/B_VVIII+ETM	일러바치/VV + ㄴ/ETM
중등/B_NNGI	중등/NNG
두레자연고/B_NNPIIII	두레자연고/NNP
대단히/B_MAGII	대단히/MAG
강타/B_NNPI	강타/NNP
가슴/B_NNGI	가슴/NNG
…/B_SE	…/SE
인성/B_NNGI	인성/NNG
통/B_NNG	통/NNG
벗/B_VV	벗/VV
흉년/B_NNGI	흉년/NNG
육군/B_NNGI	육군/NNG
난해/B_XRI	난해/XR
공인/B_NNGI	공인/NNG
다큐멘터리/B_NNGIIII	다큐멘터리/NNG
건전/B_NNGI	건전/NNG
김정회/B_NNPII	김정회/NNP
뻣센/B_VAI+ETM	뻣세/VA + ㄴ/ETM
치우/B_VVI	치우/VV
카메라/B_NNGII	카메라/NNG
가스안전공사/B_NNPIIIII	가스안전공사/NNP
는가/B_ECI	는가/EC
일당/B_NNGI	일당/NNG
앞서/B_MAGI	앞서/MAG
본다/B_VX+EFI	보/VX + ㄴ다/EF
본다/B_VX+B_NYI_EC	보/VX + ㄴ다/EC
지엽/B_NNGI	지엽/NNG
뭉개진/B_VVII+ETM	뭉개지/VV + ㄴ/ETM
귀/B_NNG	귀/NNG
방학/B_NNGI	방학/NNG
바로잡/B_VVII	바로잡/VV
혹사/B_NNGI	혹사/NNG
라던가/B_EFII	라던가/EF
격분/B_NNGI	격분/NNG
선결돼야/B_NNGII+ECI	선결/NNG + 되/XSV
청사진/B_NNGII	청사진/NNG
네게/B_NP+JKBI	너/NP + 에게/JKB
외길/B_NNGI	외길/NNG
는가/B_EFI	는가/EF
아이디어/B_NNGIII	아이디어/NNG
팔촌/B_NNGI	팔촌/NNG
프랑스/B_NNPII	프랑스/NNP
어김없이/B_MAGIII	어김없이/MAG
변했/B_VVI+EP	변하/VV + 았/EP
전수/B_NNGI	전수/NNG
현악기/B_NNGII	현악기/NNG
대책위/B_NNGII	대책위/NNG
박탈/B_NNGI	박탈/NNG
들어야죠/B_VV+B_NYI_EFII	듣/VV + 어야죠/EF
처가/B_NNGI	처가/NNG
잊어버린/B_VVIII+ETM	잊어버리/VV + ㄴ/ETM
매우/B_MAGI	매우/MAG
산천/B_NNGI	산천/NNG
즐기/B_VVI	즐기/VV
실버폰/B_NNGII	실버폰/NNG
18/B_SNI	18/SN
쳐다봤/B_VVII+EP	쳐다보/VV + 았/EP
깍지/B_NNGI	깍지/NNG
연구소/B_NNGII	연구소/NNG
간/B_VX+ETM	가/VX + ㄴ/ETM
이끼/B_NNGI	이끼/NNG
리어카/B_NNGII	리어카/NNG
내려가/B_VVII	내려가/VV
드러낸다/B_VVII+B_NYI_EF	드러내/VV + ㄴ다/EF
미국/B_NNPI	미국/NNP
다가왔/B_VVII+EP	다가오/VV + 았/EP
승합차/B_NNGII	승합차/NNG
인연/B_NNGI	인연/NNG
만/B_VX+ETM	말/VX + ㄴ/ETM
꿩고기/B_NNGII	꿩고기/NNG
철제문/B_NNGII	철제문/NNG
트리/B_NNGI	트리/NNG
월등히/B_MAGII	월등히/MAG
416/B_SNII	416/SN
총/B_MM	총/MM
보이/B_VVI	보이/VV
내뱉/B_VVI	내뱉/VV
영원히/B_MAGII	영원히/MAG
긴/B_VCP+ETN	이/VCP + 기/ETN
분할/B_NNGI	분할/NNG
강조한다/B_NNGB_XSV+B_NYI_EF	강조/NNG + 하/XSV + ㄴ다/EC
흘러나와요/B_VVIII+B_NYI_EF	흘러나오/VV + 아요/EF
주스/B_NNGI	주스/NNG
XXX/B_SLII	XXX/SL
추가/B_NNGI	추가/NNG
초보/B_NNGI	초보/NNG
궁궐/B_NNGI	궁궐/NNG
기/B_XSN	기/XSN
무겁/B_VAI	무겁/VA
웅크려/B_VVII+EC	웅크리/VV + 어/EC
승인/B_NNGI	승인/NNG
광열비/B_NNGII	광열비/NNG
놀/B_VV	놀/VV
고율/B_NNGI	고율/NNG
으니까/B_EFII	으니까/EF
라마다/B_NNPII	라마다/NNP
실제로/B_MAGII	실제로/MAG
야/B_VCP+EC	이/VCP + 야/EC
야/B_VCP+EF	이/VCP + 야/EF
회생/B_NNGI	회생/NNG
화장/B_NNGI	화장/NNG
얼뜨기/B_NNGII	얼뜨기/NNG
줄잡/B_VVI	줄잡/VV
청계촌/B_NNPII	청계촌/NNP
잔치/B_NNGI	잔치/NNG
으려면/B_ECII	으려면/EC
보일러/B_NNGII	보일러/NNG
가슴살/B_NNGII	가슴살/NNG
칼라/B_NNGI	칼라/NNG
셈/B_NNB	셈/NNB
경직/B_NNGI	경직/NNG
상주/B_NNPI	상주/NNP
야야/B_ICI	야야/IC
기반/B_NNGI	기반/NNG
有理數/B_SHII	有理數/SH
룸메이트/B_NNGIII	룸메이트/NNG
온다고/B_VX+ECII	오/VX + ㄴ다고/EC
도로/B_NNGI	도로/NNG
처박/B_VVI	처박/VV
씻/B_VV	씻/VV
간다고/B_VV+B_NYI_ECI	가/VV + ㄴ다고/EC
해야/B_VV+B_NYI_EC	하/VV + 아야/EC
예수/B_NNPI	예수/NNP
필적/B_NNGI	필적/NNG
잠/B_NNG	잠/NNG
마사지/B_NNGII	마사지/NNG
이루어지/B_VVIII	이루어지/VV
건축물/B_NNGII	건축물/NNG
흡수/B_NNGI	흡수/NNG
거/B_NP	거/NP
모노레일/B_NNGIII	모노레일/NNG
부국/B_NNGI	부국/NNG
작은누나/B_NNGIII	작은누나/NNG
경쟁/B_NNGI	경쟁/NNG
뻗/B_VV	뻗/VV
성냥팔이/B_NNGIII	성냥팔이/NNG
비유/B_NNGI	비유/NNG
내/B_VX+EC	내/VX + 어/EC
고대/B_NNGI	고대/NNG
영태전자/B_NNPIII	영태전자/NNP
그렇지만/B_MAJIII	그렇지만/MAJ
즉흥/B_NNGI	즉흥/NNG
급수/B_NNGI	급수/NNG
객관/B_NNGI	객관/NNG
이른다는/B_VVI+B_NYI_ETMI	이르/VV + ㄴ다는/ETM
먼/B_VA+ETM	멀/VA + ㄴ/ETM
눈꼬리/B_NNGII	눈꼬리/NNG
아파/B_VAI_EC	아프/VA
409/B_SNII	409/SN
항변/B_NNGI	항변/NNG
민간/B_NNGI	민간/NNG
걸/B_VV+ETM	걸/VV + ㄹ/ETM
으니까요/B_EFIII	으니까요/EF
고가/B_NNGI	고가/NNG
지포라이터/B_NNGIIII	지포라이터/NNG
매번/B_MAGI	매번/MAG
더딘/B_VAI+ETM	더디/VA + ㄴ/ETM
통치자/B_NNGII	통치자/NNG
비법/B_NNGI	비법/NNG
손아귀/B_NNGII	손아귀/NNG
돌아가야/B_VVII+B_NYI_EC	돌아가/VV + 아야/EC
피어오르/B_VVIII	피어오르/VV
해서/B_XSV+B_NYI_EC	하/XSV + 아서/EC
구분/B_NNGI	구분/NNG
비디오/B_NNGII	비디오/NNG
생각/B_NNGI	생각/NNG
놀려/B_VVI+EC	놀리/VV + 어/EC
공격/B_NNGI	공격/NNG
시킨다/B_XSVI+B_NYI_EF	시키/XSV + ㄴ다/EF
산다/B_VV+ECI	사/VV + ㄴ다/EC
영감/B_NNGI	영감/NNG
석차/B_NNGI	석차/NNG
지킬/B_VVI+ETM	지키/VV + ㄹ/ETM
접종/B_NNGI	접종/NNG
무능/B_NNGI	무능/NNG
바랄/B_VVI+ETM	바라/VV + ㄹ/ETM
망칠/B_VVI+ETM	망치/VV + ㄹ/ETM
따돌렸/B_VVII+EP	따돌리/VV + 었/EP
CO/B_SLI	CO/SL
단추/B_NNGI	단추/NNG
귀중/B_XRI	귀중/XR
요즈음/B_NNGII	요즈음/NNG
터진다/B_VVI+B_NYI_EF	터지/VV + ㄴ다/EF
할/B_VV+ETM	하/VV + ㄹ/ETM
야구/B_NNGI	야구/NNG
시원/B_XRI	시원/XR
열정/B_NNGI	열정/NNG
마치/B_VVI	마치/VV
달걀/B_NNGI	달걀/NNG
여우/B_NNGI	여우/NNG
요부/B_NNGI	요부/NNG
혓바닥/B_NNGII	혓바닥/NNG
조깅/B_NNGI	조깅/NNG
55/B_SNI	55/SN
죽이/B_VVI	죽이/VV
수세식/B_NNGII	수세식/NNG
셈/B_NNG	셈/NNG
거창/B_XRI	거창/XR
정해/B_VVI+EC	정하/VV + 아/EC
배우/B_VVI	배우/VV
바다/B_NNGI	바다/NNG
데/B_EF	ㄴ데/EF
4/B_SN	4/SN
액세서리/B_NNGIII	액세서리/NNG
를/B_JKO	를/JKO
우호/B_NNGI	우호/NNG
녹음/B_NNGI	녹음/NNG
복도/B_NNGI	복도/NNG
불러들였/B_VVIII+EP	불러들이/VV + 었/EP
발달/B_NNGI	발달/NNG
편하/B_VAI	편하/VA
멘트/B_NNGI	멘트/NNG
단순히/B_MAGII	단순히/MAG
따귀/B_NNGI	따귀/NNG
스며/B_VVI+EC	스미/VV + 어/EC
출장/B_NNGI	출장/NNG
혼마찌국민학교/B_NNPIIIIII	혼마찌국민학교/NNP
붓글씨/B_NNGII	붓글씨/NNG
잘생긴/B_VAII+ETM	잘생기/VA + ㄴ/ETM
거/B_IC	거/IC
역할/B_NNGI	역할/NNG
파란색/B_NNGII	파란색/NNG
지독/B_XRI	지독/XR
끝나/B_VVI+EC	끝나/VV + 아/EC
선친/B_NNGI	선친/NNG
장기간/B_NNGII	장기간/NNG
흘렀/B_VV+B_NYI+EP	흐르/VV + 었/EP
시킬/B_VVI+ETM	시키/VV + ㄹ/ETM
날/B_VV	날/VV
현존/B_NNGI	현존/NNG
36/B_SNI	36/SN
건너가/B_VVII	건너가/VV
약탈/B_NNGI	약탈/NNG
용건/B_NNGI	용건/NNG
시댁/B_NNGI	시댁/NNG
오늘/B_NNGI	오늘/NNG
오/B_NNP	오/NNP
고흥/B_NNPI	고흥/NNP
-/B_SS	-/SS
상주/B_NNGI	상주/NNG
한창/B_MAGI	한창/MAG
전임/B_NNGI	전임/NNG
로빅스/B_NNGII	로빅스/NNG
둔/B_VV+ETM	두/VV + ㄴ/ETM
성숙/B_NNGI	성숙/NNG
